date,last,open,high,low,volume,change_percent
2024-09-04,15470.0,15530.0,15542.5,15470.0,,-0.32
2024-09-05,15395.0,15422.5,15432.5,15394.0,,-0.48
2024-09-06,15360.0,15390.0,15398.5,15352.0,,-0.23
2024-09-09,15450.0,15475.0,15485.0,15416.0,,0.59
2024-09-10,15445.0,15475.0,15485.0,15431.5,,-0.03
2024-09-11,15395.0,15440.0,15440.0,15395.0,,-0.32
2024-09-12,15425.0,15415.0,15446.5,15400.0,,0.19
2024-09-13,15395.0,15417.5,15455.0,15390.0,,-0.19
2024-09-16,15393.1,15400.0,15408.5,15354.0,,-0.01
2024-09-17,15330.0,15370.0,15375.0,15315.0,,-0.41
2024-09-18,15330.0,15325.0,15360.0,15312.5,,0.0
2024-09-19,15230.0,15345.0,15357.5,15232.5,,-0.65
2024-09-20,15145.0,15130.0,15152.5,15070.0,,-0.56
2024-09-23,15195.0,15145.0,15212.5,15137.5,,0.33
2024-09-24,15180.0,15195.0,15212.5,15172.5,,-0.1
2024-09-25,15095.0,15115.0,15127.5,15065.0,,-0.56
2024-09-26,15160.0,15130.0,15187.5,15122.5,,0.43
2024-09-27,15120.0,15100.0,15160.0,15082.5,,-0.26
2024-09-30,15135.0,15125.0,15192.5,15109.0,,0.1
2024-10-01,15195.0,15175.0,15212.5,15167.5,,0.4
2024-10-02,15260.0,15200.0,15285.0,15200.0,,0.43
2024-10-03,15415.0,15327.5,15437.5,15305.0,,1.02
2024-10-04,15480.0,15495.0,15532.5,15467.5,,0.42
2024-10-07,15675.0,15625.0,15700.0,15625.0,,1.26
2024-10-08,15640.0,15685.0,15701.5,15625.0,,-0.22
2024-10-09,15615.0,15625.0,15640.0,15580.0,,-0.16
2024-10-10,15660.0,15655.0,15677.5,15632.5,,0.29
2024-10-11,15575.0,15665.0,15672.5,15577.5,,-0.54
2024-10-14,15555.0,15590.0,15615.0,15557.5,,-0.13
2024-10-15,15575.0,15555.0,15584.0,15532.5,,0.13
2024-10-16,15505.0,15545.0,15561.0,15507.5,,-0.45
2024-10-17,15490.0,15545.0,15555.0,15485.0,,-0.1
2024-10-18,15460.0,15515.0,15522.5,15443.5,,-0.19
2024-10-21,15490.0,15460.0,15502.5,15425.0,,0.19
2024-10-22,15555.0,15530.0,15575.0,15527.5,,0.42
2024-10-23,15615.0,15595.0,15636.0,15586.0,,0.39
2024-10-24,15575.0,15640.0,15650.0,15580.0,,-0.26
2024-10-25,15635.0,15602.5,15643.5,15592.5,,0.39
2024-10-28,15720.0,15695.0,15740.0,15687.5,,0.54
2024-10-29,15755.0,15737.5,15778.5,15730.0,,0.22
2024-10-30,15690.0,15752.5,15755.0,15695.0,,-0.41
2024-10-31,15690.0,15700.0,15715.0,15680.0,,0.0
2024-11-01,15715.0,15705.0,15732.5,15698.5,,0.16
2024-11-04,15750.0,15735.0,15776.0,15717.5,,0.22
2024-11-05,15730.0,15780.0,15795.0,15725.0,,-0.13
2024-11-06,15825.0,15787.5,15862.5,15787.5,,0.6
2024-11-07,15730.0,15815.0,15830.0,15735.0,,-0.6
2024-11-08,15665.0,15625.0,15697.5,15617.5,,-0.41
2024-11-11,15675.0,15640.0,15691.0,15632.5,,0.06
2024-11-12,15775.0,15745.0,15798.5,15732.5,,0.64
2024-11-13,15770.0,15765.0,15797.5,15752.5,,-0.03
2024-11-14,15850.0,15820.0,15892.5,15817.5,,0.51
2024-11-15,15850.0,15915.0,15967.5,15855.0,,0.0
2024-11-18,15845.0,15865.0,15877.5,15830.0,,-0.03
2024-11-19,15825.0,15810.0,15837.5,15790.0,,-0.13
2024-11-20,15860.0,15845.0,15875.0,15830.0,,0.22
2024-11-21,15920.0,15905.0,15956.5,15900.0,,0.38
2024-11-22,15870.0,15930.0,15937.5,15875.0,,-0.31
2024-11-25,15865.0,15880.0,15887.5,15846.5,,-0.03
2024-11-26,15925.0,15912.5,15939.5,15895.0,,0.38
2024-11-27,15925.0,15925.0,15925.0,15925.0,,0.0
2024-11-28,15865.0,15875.0,15891.5,15840.0,,-0.38
2024-11-29,15840.0,15865.0,15877.5,15835.0,,-0.16
2024-12-02,15895.0,15870.0,15917.5,15865.0,,0.35
2024-12-03,15935.0,15925.0,15964.0,15920.0,,0.25
2024-12-04,15925.0,15955.0,15977.5,15925.0,,-0.06
2024-12-05,15855.0,15912.5,15927.5,15859.5,,-0.44
2024-12-06,15845.0,15860.0,15862.5,15832.5,,-0.06
2024-12-09,15860.0,15855.0,15877.5,15832.5,,0.09
2024-12-10,15860.0,15855.0,15883.5,15847.5,,0.0
2024-12-11,15910.0,15880.0,15922.5,15877.0,,0.32
2024-12-12,15920.0,15940.0,15955.0,15925.0,,0.06
2024-12-13,15990.0,15965.0,16002.5,15955.0,,0.44
2024-12-16,15995.0,16005.0,16029.0,15992.5,,0.03
2024-12-17,16060.0,16020.0,16071.5,16012.5,,0.41
2024-12-18,16085.0,16102.5,16122.5,16078.5,,0.16
2024-12-19,16285.0,16205.0,16305.0,16185.0,,1.24
2024-12-20,16190.0,16315.0,16322.5,16192.0,,-0.58
2024-12-23,16170.0,16182.5,16197.5,16125.0,,-0.12
2024-12-24,16185.0,16155.0,16220.0,16155.0,,0.09
2024-12-25,16185.0,16185.0,16185.0,16185.0,,0.0
2024-12-26,16185.0,16185.0,16185.0,16185.0,,0.0
2024-12-27,16230.0,16207.5,16260.0,16205.0,,0.28
2024-12-30,16130.0,16175.0,16195.0,16127.5,,-0.62
2024-12-31,16090.0,16090.0,16172.5,16070.0,,-0.25
2025-01-01,16090.0,16090.0,16090.0,16090.0,,0.0
