iter	Passed	Remaining
797	3249	2858
798	3254	2855
799	3258	2851
800	3262	2847
801	3266	2842
802	3270	2838
803	3274	2834
804	3278	2830
805	3282	2826
806	3286	2821
807	3290	2817
808	3294	2813
809	3298	2809
810	3302	2805
811	3306	2801
812	3309	2797
813	3313	2792
814	3317	2788
815	3321	2784
816	3325	2780
817	3329	2776
818	3333	2772
819	3338	2768
820	3342	2764
821	3346	2760
822	3350	2755
823	3354	2751
824	3358	2748
825	3362	2744
826	3367	2740
827	3371	2736
828	3375	2732
829	3379	2727
830	3383	2723
831	3387	2719
832	3391	2715
833	3395	2711
834	3399	2707
835	3403	2703
836	3407	2699
837	3411	2694
838	3415	2690
839	3419	2686
840	3424	2683
841	3429	2679
842	3434	2676
843	3439	2673
844	3444	2669
845	3448	2665
846	3452	2662
847	3457	2658
848	3461	2654
849	3465	2650
850	3470	2646
851	3475	2643
852	3479	2638
853	3483	2634
854	3487	2630
855	3492	2627
856	3496	2623
857	3501	2619
858	3505	2615
859	3509	2611
860	3513	2607
861	3517	2603
862	3522	2599
863	3526	2595
864	3530	2591
865	3534	2587
866	3538	2583
867	3543	2579
868	3547	2576
869	3552	2572
870	3556	2568
871	3560	2564
872	3565	2560
873	3569	2556
874	3574	2552
875	3578	2548
876	3582	2545
877	3587	2541
878	3591	2537
879	3595	2533
880	3600	2529
881	3604	2525
882	3609	2522
883	3613	2518
884	3617	2514
885	3623	2510
886	3627	2506
887	3631	2502
888	3636	2499
889	3640	2495
890	3644	2491
891	3648	2487
892	3653	2483
893	3657	2478
894	3661	2474
895	3665	2471
896	3669	2467
897	3674	2463
898	3679	2459
899	3683	2455
900	3687	2451
901	3692	2448
902	3697	2444
903	3701	2440
904	3705	2436
905	3709	2432
906	3713	2428
907	3718	2424
908	3722	2420
909	3726	2416
910	3730	2412
911	3734	2408
912	3738	2403
913	3743	2399
914	3747	2395
915	3751	2391
916	3755	2387
917	3759	2383
918	3763	2379
919	3767	2375
920	3771	2370
921	3775	2366
922	3779	2362
923	3783	2358
924	3787	2354
925	3791	2350
926	3795	2346
927	3800	2342
928	3804	2338
929	3807	2333
930	3811	2329
931	3815	2325
932	3819	2321
933	3824	2317
934	3828	2313
935	3832	2309
936	3839	2307
937	3845	2304
938	3853	2302
939	3858	2298
940	3862	2294
941	3866	2290
942	3870	2286
943	3874	2282
944	3878	2278
945	3882	2273
946	3886	2269
947	3890	2265
948	3894	2261
949	3898	2257
950	3902	2252
951	3906	2248
952	3911	2245
953	3915	2241
954	3920	2237
955	3924	2233
956	3928	2229
957	3933	2225
958	3937	2221
959	3941	2216
960	3945	2212
961	3949	2208
962	3955	2205
963	3959	2201
964	3963	2197
965	3967	2193
966	3971	2189
967	3975	2184
968	3979	2180
969	3984	2176
970	3988	2172
971	3992	2168
972	3996	2164
973	4000	2160
974	4004	2156
975	4008	2152
976	4012	2148
977	4017	2144
978	4021	2140
979	4028	2137
980	4034	2134
981	4040	2131
982	4046	2128
983	4052	2124
984	4056	2120
985	4061	2117
986	4065	2113
987	4075	2111
988	4080	2108
989	4089	2106
990	4095	2103
991	4101	2100
992	4106	2096
993	4110	2092
994	4118	2090
995	4122	2086
996	4126	2082
997	4134	2079
998	4139	2076
999	4147	2073
1000	4154	2070
1001	4161	2068
1002	4167	2065
1003	4172	2061
1004	4176	2057
1005	4180	2053
1006	4184	2048
1007	4188	2044
1008	4193	2040
1009	4197	2036
1010	4201	2032
1011	4206	2028
1012	4210	2024
1013	4214	2019
1014	4218	2015
1015	4223	2011
1016	4227	2007
1017	4231	2003
1018	4235	1999
1019	4239	1995
1020	4243	1990
1021	4247	1986
1022	4251	1982
1023	4255	1978
1024	4259	1974
1025	4264	1969
1026	4268	1965
1027	4271	1961
1028	4275	1957
1029	4279	1952
1030	4283	1948
1031	4287	1944
1032	4291	1940
1033	4295	1935
1034	4299	1931
1035	4303	1927
1036	4307	1923
1037	4311	1918
1038	4315	1914
1039	4319	1910
1040	4323	1906
1041	4327	1902
1042	4331	1897
1043	4335	1893
1044	4339	1889
1045	4343	1885
1046	4347	1881
1047	4351	1876
1048	4355	1872
1049	4359	1868
1050	4363	1864
1051	4367	1859
1052	4371	1855
1053	4375	1851
1054	4379	1847
1055	4383	1843
1056	4387	1838
1057	4391	1834
1058	4395	1830
1059	4400	1826
1060	4403	1822
1061	4407	1817
1062	4411	1813
1063	4415	1809
1064	4419	1805
1065	4423	1800
1066	4427	1796
1067	4431	1792
1068	4435	1788
1069	4439	1784
1070	4443	1779
1071	4447	1775
1072	4451	1771
1073	4455	1767
1074	4458	1762
1075	4463	1758
1076	4467	1754
1077	4471	1750
1078	4475	1746
1079	4479	1742
1080	4483	1737
1081	4487	1733
1082	4491	1729
1083	4495	1725
1084	4499	1721
1085	4504	1717
1086	4508	1712
1087	4512	1708
1088	4516	1704
1089	4520	1700
