Provinsi,Tahun,Total_Pengeluaran,log_Total_Pengeluaran,UMP,log_UMP,TPT,Inflasi_Rata_Tahunan
Nusa Tenggara Barat,2023,1260820.0,14.047273654038412,2371407.0,14.678994429535038,3.2649999999999997,0.215
Nusa Tenggara Timur,2023,961372.0,13.77611775000353,2123994.0,14.56880930729223,3.12,0.215
Papua,2023,1509992.0,14.227615573018772,3864696.0,15.16739384107026,3.08,0.215
Papua Barat,2023,1598254.0,14.28442296704579,3282000.0,15.003963855324388,5.455,0.215
Riau,2023,1527549.0,14.23917570271639,3191663.0,14.976052968853386,4.24,0.215
Sulawesi Barat,2023,1036520.0,13.85138047114477,2871795.0,14.870448175986787,2.6550000000000002,0.215
Sulawesi Selatan,2023,1252551.0,14.04069362804542,3385145.0,15.034907594860712,4.795,0.215
Sulawesi Tengah,2023,1173679.0,13.975654669813526,2599546.0,14.770847757042535,3.22,0.215
Sulawesi Tenggara,2023,1172739.0,13.974853449187817,2758985.0,14.830373778884265,3.4050000000000002,0.215
Sulawesi Utara,2023,1315176.0,14.089481815296589,3485000.0,15.063978889120767,6.145,0.215
Sumatera Barat,2023,1411823.0,14.160393043374029,2742476.0,14.824372084587695,5.92,0.215
Sumatera Selatan,2023,1209986.0,14.006120173713557,3404177.0,15.04051405873011,4.32,0.215
Sumatera Utara,2023,1305339.0,14.081974101203684,2710494.0,14.812641833002726,5.5649999999999995,0.215
Aceh,2024,1264733.0,14.050372381352675,3460672.0,15.056973636790069,5.654999999999999,0.13
Bali,2024,1872760.0,14.442924370508004,2813672.0,14.850001305213352,1.83,0.13
Banten,2024,1772162.0,14.387711392372651,2727812.0,14.819010747208845,6.85,0.13
Bengkulu,2024,1415976.0,14.163330310166032,2507079.0,14.734629287281477,3.1399999999999997,0.13
Di Yogyakarta,2024,1758865.0,14.380179841170351,2125898.0,14.569705329700032,3.3600000000000003,0.13
Dki Jakarta,2024,2794485.0,14.843158747838581,5067381.0,15.43833487139337,6.12,0.13
Gorontalo,2024,1262268.0,14.048421453093516,3025100.0,14.92245503731945,3.09,0.13
Jambi,2024,1472501.0,14.202473552741251,3037121.0,14.926420914442645,4.465,0.13
Jawa Barat,2024,1633032.0,14.305949579954175,2057495.0,14.537000267424546,6.83,0.13
Jawa Tengah,2024,1271678.0,14.055848632543876,2036947.0,14.526963167146237,4.585,0.13
Jawa Timur,2024,1356943.0,14.120745670463638,2165244.0,14.588044076988455,3.9650000000000003,0.13
Kalimantan Barat,2024,1388077.0,14.14343061443537,2702616.0,14.809731120805369,4.53,0.13
Kalimantan Selatan,2024,1534039.0,14.243415336188672,3282812.0,15.00421123476397,4.045,0.13
Kalimantan Tengah,2024,1590691.0,14.279679699641392,3261616.0,14.997733642639405,3.84,0.13
Kalimantan Timur,2024,2042791.0,14.529828057554498,3360858.0,15.027707154027182,5.445,0.13
Kalimantan Utara,2024,1658042.0,14.321148549202354,3361653.0,15.027943672723005,3.955,0.13
Kepulauan Bangka Belitung,2024,1793074.0,14.399442581048756,3640000.0,15.10749451433816,,0.13
Kepulauan Riau,2024,2109071.0,14.561758598280736,3402492.0,15.04001895619484,,0.13
Lampung,2024,1201473.0,13.999059694307375,2716497.0,14.814854108731957,4.155,0.13
Maluku,2024,1277569.0,14.06047039407938,2949953.0,14.897300134974088,6.035,0.13
Maluku Utara,2024,1447310.0,14.185217909956103,3200000.0,14.978661680269907,4.095000000000001,0.13
Nusa Tenggara Barat,2024,1277139.0,14.060133760955416,2444067.0,14.709174422127154,3.0149999999999997,0.13
Nusa Tenggara Timur,2024,975854.0,13.7910692887845,2186826.0,14.597962192734881,3.0949999999999998,0.13
Papua,2024,1578894.0,14.272235793243297,4024270.0,15.207854334418531,6.145,0.13
Papua Barat,2024,1643488.0,14.312331979030851,3393000.0,15.037225338490757,4.22,0.13
Papua Barat Daya,2024,1642730.0,14.311870658721535,4024270.0,15.207854334418531,6.25,0.13
Papua Pegunungan,2024,1728475.0,14.362750653376144,4024270.0,15.207854334418531,1.25,0.13
Papua Selatan,2024,1427090.0,14.171148664572906,4024270.0,15.207854334418531,4.4,0.13
Papua Tengah,2024,1487688.0,14.212734467154162,4024270.0,15.207854334418531,2.62,0.13
Riau,2024,1563165.0,14.262223809778229,3294625.0,15.007803214165452,3.7750000000000004,0.13
Sulawesi Barat,2024,1109589.0,13.91950113568548,2914958.0,14.885366312487712,2.85,0.13
Sulawesi Selatan,2024,1283081.0,14.064775554260041,3434298.0,15.049323387120898,4.545,0.13
Sulawesi Tengah,2024,1231453.0,14.023706143023334,2736698.0,14.822263007550633,3.045,0.13
Sulawesi Tenggara,2024,1227163.0,14.02021637409314,2885964.0,14.875369890730287,3.1550000000000002,0.13
Sulawesi Utara,2024,1382429.0,14.139353378185346,3545000.0,15.081049000035772,5.915,0.13
Sumatera Barat,2024,1480853.0,14.208129506351245,2811449.0,14.84921092245524,5.77,0.13
Sumatera Selatan,2024,1289001.0,14.0693788335105,3456874.0,15.05587555973108,3.915,0.13
Sumatera Utara,2024,1340957.0,14.108894841862822,2809915.0,14.848665147624683,5.35,0.13
Aceh,2025,1299756.0,14.077687881882547,3685616.0,15.119948505139332,5.5,0.24333333333333332
Bali,2025,1964618.0,14.490808891356025,2996561.0,14.912976189472266,1.58,0.24333333333333332
Banten,2025,1750546.0,14.375438868487997,2905120.0,14.881985599724295,6.64,0.24333333333333332
Bengkulu,2025,1498744.0,14.220138649204868,2670039.0,14.797604011537622,3.24,0.24333333333333332
Di Yogyakarta,2025,1843212.0,14.427020802410226,2264081.0,14.632679936730588,3.18,0.24333333333333332
Dki Jakarta,2025,2962412.0,14.901514696905695,5396761.0,15.501309702055128,6.18,0.24333333333333332
Gorontalo,2025,1315738.0,14.089909042930271,3221731.0,14.985429661109345,3.12,0.24333333333333332
Jambi,2025,1477104.0,14.205594649034133,3234535.0,14.989396044408876,4.48,0.24333333333333332
Jawa Barat,2025,1724367.0,14.360371164503622,2191232.0,14.599974957058565,6.74,0.24333333333333332
Jawa Tengah,2025,1337028.0,14.10596054620038,2169349.0,14.589938141475317,4.33,0.24333333333333332
Jawa Timur,2025,1419140.0,14.16556231695626,2305985.0,14.651018908673892,3.61,0.24333333333333332
Kalimantan Barat,2025,1469934.0,14.200728740090213,2878286.0,14.872705883486725,4.23,0.24333333333333332
Kalimantan Selatan,2025,1603501.0,14.287700545386162,3496195.0,15.067186078259258,3.94,0.24333333333333332
Kalimantan Tengah,2025,1596165.0,14.283115061608287,3473621.0,15.06070841157298,3.47,0.24333333333333332
Kalimantan Timur,2025,2117354.0,14.565678226186124,3579314.0,15.090681999286778,5.33,0.24333333333333332
Kalimantan Utara,2025,1726451.0,14.361578993514323,3580160.0,15.090918329432709,3.9,0.24333333333333332
Kepulauan Bangka Belitung,2025,1765551.0,14.383973947329466,3876600.0,15.170469296732284,,0.24333333333333332
Kepulauan Riau,2025,2468319.0,14.719048315245766,3623654.0,15.102993742937828,,0.24333333333333332
Lampung,2025,1239613.0,14.03031059879775,2893070.0,14.877829125655047,4.07,0.24333333333333332
Maluku,2025,1398498.0,14.150910076572055,3141700.0,14.960274930952487,5.95,0.24333333333333332
Maluku Utara,2025,1492532.0,14.215985234557223,3408000.0,15.04163646035853,4.26,0.24333333333333332
Nusa Tenggara Barat,2025,1402118.0,14.153495221719327,2602931.0,14.772149059932053,3.22,0.24333333333333332
Nusa Tenggara Timur,2025,1028875.0,13.843977502209839,2328970.0,14.660937097092948,3.23,0.24333333333333332
Papua,2025,1810767.0,14.4092616226405,4285850.0,15.270829690062323,6.92,0.24333333333333332
Papua Barat,2025,1705338.0,14.349274475915761,3615000.0,15.100602690200137,4.21,0.24333333333333332
Papua Barat Daya,2025,1816875.0,14.412629100690722,3614000.0,15.100326026835988,6.61,0.24333333333333332
Papua Selatan,2025,1517419.0,14.232522082239477,4285850.0,15.270829690062323,4.9,0.24333333333333332
Papua Tengah,2025,1459088.0,14.193322826329858,4285848.0,15.270829223410432,3.55,0.24333333333333332
Riau,2025,1610427.0,14.292010540141167,3508776.0,15.070778101676717,4.12,0.24333333333333332
Sulawesi Barat,2025,1069314.0,13.882528814515057,3104430.0,14.94834100373883,3.17,0.24333333333333332
Sulawesi Selatan,2025,1358821.0,14.122128705894047,3657527.0,15.112298067349506,4.96,0.24333333333333332
Sulawesi Tengah,2025,1256394.0,14.043757067014386,2915000.0,14.885380720819844,3.02,0.24333333333333332
Sulawesi Tenggara,2025,1325085.0,14.096987920956556,3073552.0,14.938344779364677,3.27,0.24333333333333332
Sulawesi Utara,2025,1410504.0,14.15945835426016,3775425.0,15.144023781980561,6.03,0.24333333333333332
Sumatera Barat,2025,1542109.0,14.248662166488492,2994193.0,14.91218563812171,5.69,0.24333333333333332
Sumatera Selatan,2025,1283538.0,14.065131664495897,3681571.0,15.118850392845356,3.89,0.24333333333333332
Sumatera Utara,2025,1397887.0,14.150473084117346,2992559.0,14.911639766338578,5.05,0.24333333333333332
